token,date,amount
HBTC,12/11/2019,0
HBTC,12/16/2019,0
HBTC,1/7/2020,0
HBTC,2/4/2020,10000000000000000
HBTC,2/10/2020,5000000000000000
HBTC,2/11/2020,130000000000000000
HBTC,2/13/2020,500000000000000000000
HBTC,2/28/2020,210000000000000000000
HBTC,4/1/2020,-34640010000000000
imBTC,10/25/2019,164345678
imBTC,10/26/2019,2603023685
imBTC,10/27/2019,157183663
imBTC,10/28/2019,10944267
imBTC,10/29/2019,168567040
imBTC,10/30/2019,2644629551
imBTC,10/31/2019,4370800219
imBTC,11/1/2019,-2092736
imBTC,11/3/2019,-1178207
imBTC,11/4/2019,-206567608
imBTC,11/5/2019,-101620990
imBTC,11/6/2019,3366
imBTC,11/7/2019,1400032000
imBTC,11/8/2019,-54286607
imBTC,11/9/2019,-1035335
imBTC,11/10/2019,300000000
imBTC,11/11/2019,377082194
imBTC,11/12/2019,59841728
imBTC,11/14/2019,-95721728
imBTC,11/15/2019,200000000
imBTC,11/18/2019,193951338
imBTC,11/19/2019,289790951
imBTC,11/21/2019,598767708
imBTC,11/22/2019,300000000
imBTC,11/24/2019,-1772413
imBTC,11/25/2019,-3591843
imBTC,11/26/2019,-1217957
imBTC,11/29/2019,-11161311
imBTC,11/30/2019,-67904125
imBTC,12/1/2019,600000000
imBTC,12/2/2019,-7455965
imBTC,12/3/2019,349000000
imBTC,12/4/2019,601000000
imBTC,12/5/2019,1365084527
imBTC,12/6/2019,5038714861
imBTC,12/7/2019,-1173729
imBTC,12/8/2019,300000000
imBTC,12/9/2019,88979150
imBTC,12/11/2019,300000000
imBTC,12/12/2019,-987252411
imBTC,12/13/2019,-2314712
imBTC,12/14/2019,352500000
imBTC,12/16/2019,369511734
imBTC,12/18/2019,-14028289
imBTC,12/19/2019,-146671856
imBTC,12/21/2019,398561798
imBTC,12/22/2019,-1796993
imBTC,12/24/2019,-96938345
imBTC,12/25/2019,794689706
imBTC,12/26/2019,296000000
imBTC,12/27/2019,600000000
imBTC,12/28/2019,5999700000
imBTC,12/29/2019,932229134
imBTC,12/30/2019,-3391309
imBTC,12/31/2019,-9000000
imBTC,1/3/2020,3143886798
imBTC,1/4/2020,63857428
imBTC,1/5/2020,285084773
imBTC,1/6/2020,233101656
imBTC,1/7/2020,4344518891
imBTC,1/8/2020,2018722202
imBTC,1/9/2020,690655682
imBTC,1/10/2020,84375101
imBTC,1/11/2020,387343056
imBTC,1/12/2020,123204527
imBTC,1/13/2020,-654779206
imBTC,1/14/2020,1166893771
imBTC,1/15/2020,1872175351
imBTC,1/16/2020,1483946040
imBTC,1/17/2020,-77305788
imBTC,1/18/2020,1509996760
imBTC,1/19/2020,-85575631
imBTC,1/20/2020,-495241173
imBTC,1/23/2020,102497480
imBTC,1/24/2020,-16981503
imBTC,1/25/2020,50000000
imBTC,1/26/2020,-16900175
imBTC,1/27/2020,-16150179
imBTC,1/28/2020,28637943
imBTC,1/29/2020,7832797
imBTC,1/30/2020,1290972558
imBTC,2/1/2020,690123283
imBTC,2/2/2020,4182476
imBTC,2/3/2020,-516061711
imBTC,2/4/2020,202633981
imBTC,2/5/2020,221181000
